,song_title,lyric_pair
0,Float On,"I backed my car into a cop car the other day || Well, he just drove off, sometimes life's okay"
1,Float On,"Well, he just drove off, sometimes life's okay || I ran my mouth off a bit too much, oh, what did I say?"
2,Float On,"I ran my mouth off a bit too much, oh, what did I say? || Well, you just laughed it off, it was all okay"
3,Float On,"Well, you just laughed it off, it was all okay || And we'll all float on, okay"
4,Float On,"And we'll all float on, okay || And we'll all float on, okay"
5,Float On,"And we'll all float on, okay || And we'll all float on, okay"
6,Float On,"And we'll all float on, okay || And we'll all float on anyway, well"
7,Float On,"And we'll all float on anyway, well || A fake Jamaican took every last dime with that scam"
8,Float On,A fake Jamaican took every last dime with that scam || It was worth it just to learn some sleight of hand
9,Float On,"It was worth it just to learn some sleight of hand || Bad news comes, don't you worry even when it lands"
10,Float On,"Bad news comes, don't you worry even when it lands || Good news will work its way to all them plans"
11,Float On,Good news will work its way to all them plans || We both got fired on exactly the same day
12,Float On,"We both got fired on exactly the same day || Well, we'll float on, good news is on the way"
13,Float On,"Well, we'll float on, good news is on the way || Bring it on, here we are, win or lose, win or lose"
14,Float On,"Bring it on, here we are, win or lose, win or lose || Win or lose, win or lose, win or lose, win or lose"
15,Float On,"Win or lose, win or lose, win or lose, win or lose || Win or lose, win or lose, I can't say"
16,Float On,"Win or lose, win or lose, I can't say || And we'll all float on, okay"
17,Float On,"And we'll all float on, okay || And we'll all float on, okay"
18,Float On,"And we'll all float on, okay || And we'll all float on, okay"
19,Float On,"And we'll all float on, okay || And we'll all float on, alright"
20,Float On,"And we'll all float on, alright || Already, we'll all float on"
21,Float On,"Already, we'll all float on || No, don't you worry, we'll all float on, alright"
22,Float On,"No, don't you worry, we'll all float on, alright || Already, we'll all float on, alright"
23,Float On,"Already, we'll all float on, alright || Don't worry, we'll all float on"
24,Float On,"Don't worry, we'll all float on || Alright, already And we'll all float on"
25,Float On,"Alright, already And we'll all float on || Alright, already, we'll all float on, alright"
26,Float On,"Alright, already, we'll all float on, alright || Don't worry, even if things end up a bit too heavy"
27,Float On,"Don't worry, even if things end up a bit too heavy || We'll all float on"
28,Float On,"We'll all float on || Alright, already, we'll all float on "
29,Float On,"Alright, already, we'll all float on  || Alright, already, we'll all float on "
30,Float On,"Alright, already, we'll all float on  || Okay, don't worry, we'll all float on "
31,Float On,"Okay, don't worry, we'll all float on  || Even if things get heavy, we'll all float on "
32,Float On,"Even if things get heavy, we'll all float on  || Alright, already, we'll all float on Alright! "
33,Float On,"Alright, already, we'll all float on Alright!  || Now don't you worry, we'll all float on Alright!"
34,Float On,"Now don't you worry, we'll all float on Alright! || We'll all float on"
35,3rd Planet,Everything that keeps me together is falling apart || I got this thing that I consider my only art
36,3rd Planet,I got this thing that I consider my only art || Of fucking people over
37,3rd Planet,Of fucking people over || My boss just quit the job
38,3rd Planet,My boss just quit the job || Says he's going out to find blind spots
39,3rd Planet,Says he's going out to find blind spots || And he'll do it
40,3rd Planet,And he'll do it || The third planet is sure that they're being watched
41,3rd Planet,The third planet is sure that they're being watched || By an eye in the sky that can't be stopped
42,3rd Planet,By an eye in the sky that can't be stopped || When you get to the promised land
43,3rd Planet,When you get to the promised land || You're gonna shake the eye's hand
44,3rd Planet,You're gonna shake the eye's hand || Your heart felt good
45,3rd Planet,Your heart felt good || It was drippin' pitch and made of wood
46,3rd Planet,It was drippin' pitch and made of wood || And your hands and knees
47,3rd Planet,And your hands and knees || Felt cold and wet on the grass beneath
48,3rd Planet,"Felt cold and wet on the grass beneath || Well, outside, naked, shivering, looking blue"
49,3rd Planet,"Well, outside, naked, shivering, looking blue || From the cold sunlight that's reflecting off the moon"
50,3rd Planet,"From the cold sunlight that's reflecting off the moon || And baby cum angels, fly around you"
51,3rd Planet,"And baby cum angels, fly around you || Reminding you we used to be three and not just two"
52,3rd Planet,Reminding you we used to be three and not just two || And that's how the world began
53,3rd Planet,And that's how the world began || And that's how the world will end
54,3rd Planet,"And that's how the world will end || Well, a third had just been made"
55,3rd Planet,"Well, a third had just been made || And we were swimming in the water"
56,3rd Planet,"And we were swimming in the water || Didn't know then; was it a son, was it a daughter"
57,3rd Planet,"Didn't know then; was it a son, was it a daughter || And it occurred to me that the animals are swimming"
58,3rd Planet,And it occurred to me that the animals are swimming || Around in the water in the oceans in our bodies
59,3rd Planet,"Around in the water in the oceans in our bodies || And another had been found, another ocean on the planet"
60,3rd Planet,"And another had been found, another ocean on the planet || Given that our blood is just like the Atlantic, and how"
61,3rd Planet,"Given that our blood is just like the Atlantic, and how || Well the universe is shaped exactly like the earth"
62,3rd Planet,Well the universe is shaped exactly like the earth || If you go straight long enough you'll end up where you were
63,3rd Planet,If you go straight long enough you'll end up where you were || And the universe is shaped exactly like the earth
64,3rd Planet,And the universe is shaped exactly like the earth || If you go straight long enough you'll end up where you were
65,3rd Planet,If you go straight long enough you'll end up where you were || The universe is shaped exactly like the earth
66,3rd Planet,The universe is shaped exactly like the earth || Your heart felt good
67,3rd Planet,Your heart felt good || It was drippin' pitch and made of wood
68,3rd Planet,It was drippin' pitch and made of wood || And your hands and knees
69,3rd Planet,And your hands and knees || Felt cold and wet on the grass beneath
70,3rd Planet,"Felt cold and wet on the grass beneath || Well, outside, naked, shivering, looking blue"
71,3rd Planet,"Well, outside, naked, shivering, looking blue || From the cold sunlight that's reflecting off the moon"
72,3rd Planet,"From the cold sunlight that's reflecting off the moon || And baby cum angels, fly around you"
73,3rd Planet,"And baby cum angels, fly around you || Reminding you we used to be three and not just two"
74,3rd Planet,Reminding you we used to be three and not just two || And that's how the world began
75,3rd Planet,And that's how the world began || And that's how the world will end
76,3rd Planet,"And that's how the world will end || Well, a third had just been made"
77,3rd Planet,"Well, a third had just been made || And we were swimming in the water"
78,3rd Planet,"And we were swimming in the water || Didn't know then; was it a son, was it a daughter"
79,3rd Planet,"Didn't know then; was it a son, was it a daughter || And it occurred to me that the animals are swimming"
80,3rd Planet,And it occurred to me that the animals are swimming || Around in the water in the oceans in our bodies
81,3rd Planet,"Around in the water in the oceans in our bodies || And another had been found, another ocean on the planet"
82,3rd Planet,"And another had been found, another ocean on the planet || Given that our blood is just like the Atlantic, and how"
83,3rd Planet,"Given that our blood is just like the Atlantic, and how || Well, the universe is shaped exactly like the earth"
84,3rd Planet,"Well, the universe is shaped exactly like the earth || If you go straight long enough you'll end up where you were"
85,3rd Planet,If you go straight long enough you'll end up where you were || And the universe is shaped exactly like the earth
86,3rd Planet,And the universe is shaped exactly like the earth || If you go straight long enough you'll end up where you were
87,3rd Planet,If you go straight long enough you'll end up where you were || The universe is shaped exactly like the earth
88,3rd Planet,The universe is shaped exactly like the earth || Everything that keeps me together is falling apart
89,3rd Planet,Everything that keeps me together is falling apart || I got this thing that I consider my only art
90,3rd Planet,I got this thing that I consider my only art || Of fucking people over
91,The World at Large,"Ice age heat wave, can't complain || If the world's at large, why should I remain?"
92,The World at Large,"If the world's at large, why should I remain? || Walked away to another plan"
93,The World at Large,"Walked away to another plan || Gonna find another place, maybe one I can stand"
94,The World at Large,"Gonna find another place, maybe one I can stand || I move on to another day"
95,The World at Large,I move on to another day || To a whole new town with a whole new way
96,The World at Large,To a whole new town with a whole new way || Went to the porch to have a thought
97,The World at Large,"Went to the porch to have a thought || Got to the door, and again, I couldn't stop"
98,The World at Large,"Got to the door, and again, I couldn't stop || You don't know where and you don't know when"
99,The World at Large,You don't know where and you don't know when || But you've still got your words and you've got your friends
100,The World at Large,But you've still got your words and you've got your friends || Walk along to another day
101,The World at Large,"Walk along to another day || Work a little harder, work another way"
102,The World at Large,"Work a little harder, work another way || Well uh-uh, baby, I ain't got no plan"
103,The World at Large,"Well uh-uh, baby, I ain't got no plan || Well I float on, maybe would you understand?"
